"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
122184494114383179,61561495390240,"JUANKada Host Ikay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,"12/31/2025 23:22",N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,1641,436,79,75,3,1,26,,26,,15924.868,14.596,0,0,0,
122184356894383179,61561495390240,"JUANKada Host Ikay","Goodmorning Kikays! 🌸

Salamat sa palikipag kulitan at pakikipag laro sa color game live kanina!

Kita kits uli tayo, 10pm to 5am later at salubungin ang bagong taon with me 

See you! 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Goodmorning Kikays! 🌸

Salamat sa palikipag kulitan at pakikipag laro sa color game live kanina!

Kita kits uli tayo, 10pm to 5am later at salubungin ang bagong taon with me 

See you! 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",17,"12/30/2025 20:11",uploaded,https://www.facebook.com/reel/3293167107529253/,0,0,Videos,,,,,Lifetime,2452,675,83,76,5,2,86,,86,,16581.939,9.352,0,0,0,
122184259652383179,61561495390240,"JUANKada Host Ikay","Sending a little love and glow to all my Kikays today! 🌸

How are you feeling right now?

Comment a GIF that best describes your mood!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Sending a little love and glow to all my Kikays today! 🌸

How are you feeling right now?

Comment a GIF that best describes your mood!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,"12/29/2025 21:28",N/A,https://www.facebook.com/reel/1234450511887590/,0,0,Videos,,,,,Lifetime,1544,463,50,43,4,3,42,,42,,9833.385,8.795,0,0,0,
122184234140383179,61561495390240,"JUANKada Host Ikay","Drop a “🌸” kung napanood mo ’ko kagabi sa Color Game!

See you ulit mamaya, Kikays! 💖✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/29/2025 16:00",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid06DDvy65magWxt1FR2bT3ooN3cJPmNuPRABJxXCrfCJmBGGXz73tLyEqTrhbTPbD8l,0,0,Photos,,,,,Lifetime,757,278,25,22,3,0,60,22,38,,,,,,,
122184198722383179,61561495390240,"JUANKada Host Ikay","Uy! Don’t miss out! 👀
LIVE na LIVE na tayo ngayon, kaya pasok na at makisabay sa saya! 🫶

Live sa Juan365 app at website.
See you there, mga Kikay’s 🩵✨",,0,"12/29/2025 06:38",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02hQFWAm4iHqxMsibgQzWsEsC4twVkqEMP2546TPE7uEVycEJE3Ey2hAc3VJ74i3q9l,0,1,Photos,,,,,Lifetime,601,247,10,10,0,0,29,18,11,,,,,,,
122184099788383179,61561495390240,"JUANKada Host Ikay",,,0,"12/28/2025 08:45",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid016AyB4qtFxpdVMan6SZkSAhXXGWyzpQ8xe6khr4jV4Z7SWT1bk7utgf48serSWDkl,0,1,Photos,,,,,Lifetime,528,233,6,6,0,0,16,13,3,,,,,,,
122184039188383179,61561495390240,"JUANKada Host Ikay","Shoutout to all my pretty-faced Kikays out there! 💖

Stay happy, stay playful, at enjoy bawat beat ng araw 🎶

Drop a ""🌸"" kung ready na kayo magkulitan with me today! 10pm-6am 🫣🥰

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/27/2025 19:55",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02u5nmesoQ49jyz34eDExxCwX2cet2c4EG7AJkKiEb48oay3P9TPdu53pByjFaJYrCl,0,0,Photos,,,,,Lifetime,2510,878,68,60,5,3,195,107,88,,,,,,,
122184002870383179,61561495390240,"JUANKada Host Ikay",🫶🏼,,0,"12/27/2025 09:59",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0whGM5CWy8mT1ikuQQjcADqazMvJ7ksK9Tv1nfq9VvZaU8idqzi4xEqBZ66tZfCDsl,0,1,Photos,,,,,Lifetime,571,244,13,10,2,1,6,2,4,,,,,,,
122183985896383179,61561495390240,"JUANKada Host Ikay","Swerte check, Kikays! 🍀

Sino na dito tumama na sa Color Game? 

Comment na para ma-spread ang swerte dust niyo Kikays! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"12/27/2025 06:00",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0zLACzw9SrRAkqUV7B1i6pWhdwQpBfhXWDjjDLXDG5cgw5FwzYauqtMUE8yvfMGzol,0,0,Photos,,,,,Lifetime,1687,634,23,22,0,1,158,117,41,,,,,,,
122183961662383179,61561495390240,"JUANKada Host Ikay","Good afternoon, Kikays! 🌸✨

Start the day fresh, smiling, at puno ng good vibes 😌

Huwag kalimutang spread positivity sa paligid mo today!

Drop an emoji that best describes your mood today!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Good afternoon, Kikays! 🌸✨

Start the day fresh, smiling, at puno ng good vibes 😌

Huwag kalimutang spread positivity sa paligid mo today!

Drop an emoji that best describes your mood today!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",16,"12/27/2025 01:00",mixed,https://www.facebook.com/reel/1215374207323168/,1,0,Videos,,,,,Lifetime,1219,479,59,52,6,1,22,,22,,7199.468,7.817,0,0,0,
