Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Matched Audience Targeting Consumption (Video Click),Negative feedback from users: Hide all
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2345,716,86,81,3,2,20249.255,12.183,0,0,0,26,26,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/1/2026 3:07,N/A,https://www.facebook.com/reel/2137974016608757/,0,0,Videos,,,,,Lifetime,753,341,72,66,4,2,5316.939,9.027,0,0,0,23,23,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,❤️,,0,1/31/2026 22:43,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02nv9FW5MKYqDqqZUEStd4TodCykHcXpKD2yAREuki2vvEYN77uRehNoymY8huWZ2pl,0,1,Photos,,,,,Lifetime,227,102,7,7,0,0,,,,,,8,3,5,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/31/2026 22:41,N/A,https://www.facebook.com/photo.php?fbid=122187456146383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,1,1,14,12,2,0,,,,,,0,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,Lets continue the goodvibes kikays.❤️,,0,1/31/2026 22:38,N/A,https://www.facebook.com/photo.php?fbid=122187455960383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,209,103,14,13,1,0,,,,,,8,7,1,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1320,717,70,64,2,4,5772.493,5.659,0,0,0,18,18,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Dancing like Shakira, stealing hearts like always 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dancing like Shakira, stealing hearts like always 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/30/2026 19:02,N/A,https://www.facebook.com/reel/1549524326351489/,0,0,Videos,,,,,Lifetime,892,389,75,66,6,3,5360.194,7.734,0,0,0,46,46,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,15,1/30/2026 4:06,N/A,https://www.facebook.com/reel/1435167158215272/,0,0,Videos,,,,,Lifetime,862,392,78,67,9,2,5106.807,7.772,0,0,0,37,37,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Rest day mood: music on, worries off 🎶

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 20:54,N/A,https://www.facebook.com/reel/3730376783760419/,0,0,Videos,,,,,Lifetime,1039,293,73,59,12,2,7291.8,9.947,0,0,0,70,70,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Nilalamig din ba kayo, Kikays? Painitin muna natin 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/29/2026 2:57,uploaded,https://www.facebook.com/reel/1432024291882506/,0,0,Videos,,,,,Lifetime,2045,1180,88,79,7,2,13880.377,8.818,0,0,0,59,59,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Wait ’til the end, Kikays 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 19:27,N/A,https://www.facebook.com/reel/953319173788030/,0,0,Videos,,,,,Lifetime,1367,603,83,69,12,2,9280.217,9.28,0,0,0,73,73,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayt Pataka! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/28/2026 2:58,N/A,https://www.facebook.com/reel/870997119328656/,0,0,Videos,,,,,Lifetime,1182,492,103,89,11,3,6990.476,7.758,0,0,0,62,62,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Tinitigan sino? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 19:31,N/A,https://www.facebook.com/reel/4382663695302653/,1,0,Videos,,,,,Lifetime,1170,585,89,70,15,4,6879.793,7.437,0,0,0,41,41,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Magtiwala ka lang 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/27/2026 3:08,mixed,https://www.facebook.com/reel/1174448624769640/,0,0,Videos,,,,,Lifetime,1325,359,87,68,13,6,8036.61,8.424,0,0,0,93,93,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Dedma mag mukang t*nga basta kasama ko kayo juankada 🥰🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/26/2026 19:30,N/A,https://www.facebook.com/reel/5158914754334091/,1,0,Videos,,,,,Lifetime,4021,1164,179,150,22,7,26381.253,9.227,0,0,0,323,323,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ngayon alam niyo na 😋🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/25/2026 21:18,N/A,https://www.facebook.com/reel/877231568540633/,0,0,Videos,,,,,Lifetime,1455,642,95,78,15,2,9593.854,8.907,0,0,0,58,58,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,🤍,🤍,15,1/25/2026 6:15,N/A,https://www.facebook.com/reel/1180648704058401/,0,0,Videos,,,,,Lifetime,1496,620,117,102,12,3,8937.14,7.888,0,0,0,50,50,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Siya'y magandang babae na lalake pumorma 😎

Comment “present!” sa mga Kikays kong magaganda pero astig din kung pumorma! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",22,1/24/2026 19:36,N/A,https://www.facebook.com/reel/899800145871995/,0,0,Videos,,,,,Lifetime,2093,769,112,91,13,8,22798.605,14.623,0,0,0,80,80,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby, I like your style 🎶

Nagustuhan niyo rin ba ang style ko today, Kikays? Heart this if yes! 🥰🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",12,1/24/2026 2:59,N/A,https://www.facebook.com/reel/887589417500124/,0,0,Videos,,,,,Lifetime,2429,950,134,111,18,5,14716.089,8.447,0,0,0,98,98,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Hindi ko maipaliwanag 🎶

Kung bakit palagi ko kayong hinahanap, Kikays! Kaya dapat lagi tayong magkasama sa LIVE para walang miss-miss 😘✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Hindi ko maipaliwanag 🎶

Kung bakit palagi ko kayong hinahanap, Kikays! Kaya dapat lagi tayong magkasama sa LIVE para walang miss-miss 😘✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",23,1/23/2026 2:55,mixed,https://www.facebook.com/reel/1632292444427492/,0,0,Videos,,,,,Lifetime,1518,631,121,100,18,3,11462.479,9.552,0,0,0,74,74,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Week’s OOTD Recap!

Which outfit deserves a round two, Kikays? 😍",,0,1/22/2026 20:50,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02YDKccgGMkSmkS8MzgJAjjRc4U9EfJS9mb6Wgpt1K63BcWPGSr5cpju9hArHW7SJpl,0,0,Photos,,,,,Lifetime,1210,493,44,31,7,6,,,,,,114,53,61,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,🥰❤️,,0,1/22/2026 19:37,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid031mPmCKJUagMNZqN5rG55YLXADejqDB4ouY9Z3Y4hhmXbiaGFdG4M4RcUuVuAAL5yl,0,1,Text,,,,,Lifetime,195,163,10,8,2,0,,,,,,3,3,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"Kapag naririnig niyo 'to nasa kabilang banda kami ng hinahanap niyo 🎶😜

Drop a “🧡” kung napahataw ka rin nung nakita mo ’to!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies","Kapag naririnig niyo 'to nasa kabilang banda kami ng hinahanap niyo 🎶😜

Drop a “🧡” kung napahataw ka rin nung nakita mo ’to!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",14,1/22/2026 3:02,N/A,https://www.facebook.com/reel/2272510593232016/,0,0,Videos,,,,,Lifetime,1636,711,80,70,7,3,9751.823,7.826,0,0,0,40,40,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"On Thursdays, we wear white! Fresh look, fresh vibes 🤍✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabie",,0,1/21/2026 21:30,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid07uRJeDtz6AY4r9vRMpjQLHF9C5NGR4TCA2qry2kmnMUx5tws8cjasujNGVSYfeAKl,0,0,Photos,,,,,Lifetime,991,422,49,37,11,1,,,,,,77,28,49,,,
