Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2379,720,87,82,3,2,26,26,,,0,20430.119,12.11,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"💅

How’s your week, Kikays? Comment mo na yan below! 👇

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","💅

How’s your week, Kikays? Comment mo na yan below! 👇

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",17,2/13/2026 21:19,N/A,https://www.facebook.com/reel/1298377039011848/,0,0,Videos,,,,,Lifetime,241,76,18,14,3,1,11,11,,,0,1706.71,11.852,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Outfit check: clean, classy, and a little main character energy 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Outfit check: clean, classy, and a little main character energy 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,2/13/2026 3:40,N/A,https://www.facebook.com/reel/2230998657423777/,0,0,Videos,,,,,Lifetime,753,253,60,50,3,7,29,29,,,0,4555.551,8.208,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Can I be your valentine? 💝 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Can I be your valentine? 💝 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/12/2026 22:53,N/A,https://www.facebook.com/reel/1648613956308946/,0,0,Videos,,,,,Lifetime,726,250,29,16,3,10,22,22,,,0,2317.452,4.405,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Eya eya 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Eya eya 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",19,2/12/2026 2:57,N/A,https://www.facebook.com/reel/1587521662395224/,0,0,Videos,,,,,Lifetime,457,254,40,32,5,3,28,28,,,0,2778.312,7.915,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Do it how you do it and walk it out! 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Do it how you do it and walk it out! 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",30,2/11/2026 22:36,N/A,https://www.facebook.com/reel/1641931436814846/,0,0,Videos,,,,,Lifetime,480,168,42,39,2,1,15,15,,,0,3551.889,9.201,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"💙 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","💙 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/11/2026 2:40,N/A,https://www.facebook.com/reel/24894487450227208/,0,0,Videos,,,,,Lifetime,679,278,49,45,2,2,24,24,,,0,4373.732,8.283,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Miss Independent it is! 💅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Miss Independent it is! 💅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",27,2/10/2026 20:09,N/A,https://www.facebook.com/reel/910307121857004/,0,0,Videos,,,,,Lifetime,727,252,52,45,6,1,36,36,,,0,6380.446,11.332,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Baby shake it if you got it 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby shake it if you got it 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/10/2026 2:33,N/A,https://www.facebook.com/reel/3876960919104712/,0,0,Videos,,,,,Lifetime,853,253,70,60,9,1,44,44,,,0,5417.52,8.881,0,0,0,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Game ka na ba? Join na sa Color Game LIVE!

Tap in at subukan ang swerte mo! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Game ka na ba? Join na sa Color Game LIVE!

Tap in at subukan ang swerte mo! 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",22,2/9/2026 19:09,N/A,https://www.facebook.com/reel/1586573722465069/,0,0,Videos,,,,,Lifetime,925,250,63,53,7,3,32,32,,,0,7621.024,10.934,0,0,0,,
