"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122184577460383179,61561495390240,"JUANKada Host Ikay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,"01/01/2026 20:14",N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,2880,1083,57,53,1,3,53,53,,,,20134.6,9.452,0,0,0
122184669344383179,61561495390240,"JUANKada Host Ikay","JUANKada Host Ikay updated their cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,1,19,17,1,1,0,,,,,,,,,
122184689018383179,61561495390240,"JUANKada Host Ikay","LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/02/2026 23:44",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0oY4cbrviawWWFg6z45x1F9JRVK2apRRD1VkmRwFKTkXxCTQWx3XQSkXQHpffvsF6l,0,0,Photos,,,,,Lifetime,2595,964,73,55,13,5,104,76,28,,,,,,,
122184789542383179,61561495390240,"JUANKada Host Ikay","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/03/2026 23:21",N/A,https://www.facebook.com/reel/862805923201086/,0,0,Videos,,,,,Lifetime,1805,620,90,74,15,1,40,40,,,,10041.384,7.151,0,0,0
122184886364383179,61561495390240,"JUANKada Host Ikay","Heads up, Kikays! 👀 

Live na ako now until 10PM!

Stay tuned and samahan ako sa saya! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/05/2026 00:21",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02jFVwsNFWBgkVPAzYhAnTeWZG3js2D95UHm9L9cVpWFzfswmqTmYk6ncgTVktd5rfl,0,0,Photos,,,,,Lifetime,2873,1198,68,61,4,3,166,92,74,,,,,,,
122184904130383179,61561495390240,"JUANKada Host Ikay","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/05/2026 04:15",N/A,https://www.facebook.com/reel/4167437183516019/,0,0,Videos,,,,,Lifetime,2299,760,72,67,2,3,45,45,,,,14655.115,8.666,0,0,0
122184985280383179,61561495390240,"JUANKada Host Ikay","Still me, just in different moods ✨

How’s your year so far, Kikays? So far so good? Drop a “💖” if yes!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/06/2026 00:13",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02vZrQXQD1gfbBj4DDcaLjZ99KVNts1zy1p5TFfrBACs4k6SDN9Nsb5U5fKfLmd3Frl,0,0,Photos,,,,,Lifetime,2067,928,34,31,1,2,121,34,87,,,,,,,
122184997124383179,61561495390240,"JUANKada Host Ikay","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,"01/06/2026 02:55",N/A,https://www.facebook.com/reel/1217464026992525/,0,0,Videos,,,,,Lifetime,1443,478,59,47,9,3,49,49,,,,7983.803,7.122,0,0,0
122185101356383179,61561495390240,"JUANKada Host Ikay","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",36,"01/06/2026 22:35",N/A,https://www.facebook.com/reel/894560389655814/,0,0,Videos,,,,,Lifetime,2710,789,131,116,12,3,107,107,,,,31900.041,15.366,0,0,0
122185202126383179,61561495390240,"JUANKada Host Ikay","Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikay’s, set your alarms na! ⏰‼️

Abangan niyo ako bukas sa Color Game! 6am-2pm 🤗🫶🏼

See you! 🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",14,"01/07/2026 20:51",N/A,https://www.facebook.com/reel/1538065327450829/,0,0,Videos,,,,,Lifetime,1339,424,69,51,16,2,34,34,,,,7845.439,7.908,0,0,0
122185209578383179,61561495390240,"JUANKada Host Ikay",🤗,,0,"01/07/2026 23:14",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02ZdSFjjZADP8koDAZk2tTQtfbA9vA9Kzc1211QVwP6hAJoT5h9TsDWfMtN1GUxjUjl,0,1,Text,,,,,Lifetime,,206,17,13,4,0,16,16,,,,,,,,
122185275254383179,61561495390240,"JUANKada Host Ikay","Juankada Alexchoozy Juankada host Drae",,0,"01/08/2026 15:17",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02mHECXqrYxyzEQo8yAkUrWP8HxuPEJWv7R2io2298Ei91y3ZZSzVT11kEp7Kusnozl,0,1,Photos,,,,,Lifetime,508,224,20,13,6,1,36,15,21,,,,,,,
