Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Matched Audience Targeting Consumption (Video Click)
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2205,638,86,81,3,2,26,26,,,19393.808,12.617,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,1/1/2026 20:14,N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,2919,1100,57,53,1,3,53,53,,,20409.231,9.448,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/2/2026 18:39,N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,1,19,17,1,1,0,,,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/2/2026 23:44,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02sDMKVPaocmhsu1CYQkYfeyXRgScpfVQt8PwymFosLtJTdoPjoxVwMcz4yhwEvMTcl,0,0,Photos,,,,,Lifetime,2624,975,73,55,13,5,104,76,28,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/3/2026 23:21,N/A,https://www.facebook.com/reel/862805923201086/,0,0,Videos,,,,,Lifetime,1848,632,90,74,15,1,40,40,,,10156.679,7.038,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Heads up, Kikays! 👀 

Live na ako now until 10PM!

Stay tuned and samahan ako sa saya! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/5/2026 0:21,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0fXhkf4MQWsP3wqBt8WceNXjMYNzorY9aGyd6fUyTqyshVC5i5A6n3h3eNWYD4qWYl,0,0,Photos,,,,,Lifetime,2907,1205,68,61,4,3,166,92,74,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/5/2026 4:15,N/A,https://www.facebook.com/reel/4167437183516019/,0,0,Videos,,,,,Lifetime,2354,779,75,69,2,4,45,45,,,14884.593,8.579,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Still me, just in different moods ✨

How’s your year so far, Kikays? So far so good? Drop a “💖” if yes!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/6/2026 0:13,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0rr4DK6Jv1vbkvfQQXSueVbrz9HYatkdDtjo3HynJrFnAivp6YZanAHHNMuPahEQBl,0,0,Photos,,,,,Lifetime,2107,943,34,31,1,2,121,34,87,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/6/2026 2:55,N/A,https://www.facebook.com/reel/1217464026992525/,0,0,Videos,,,,,Lifetime,1488,500,61,48,9,4,49,49,,,8144.075,7.014,0,0,0,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",36,1/6/2026 22:35,N/A,https://www.facebook.com/reel/894560389655814/,0,0,Videos,,,,,Lifetime,2771,819,133,117,12,4,107,107,,,32275.751,15.174,0,0,0,,
