Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Matched Audience Targeting Consumption (Video Click)
1.22184E+17,6.15615E+13,JUANKada Host Ikay,"A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","A year older today! 🎉

Thankful for all the blessings, the lessons, and every little moment that made me stronger.

Super grateful din sa inyo, Kikays — salamat sa love, support, at kulitan everyday! 🥰

To more smiles, wins, and good vibes ahead. Manifesting happier days and new beginnings! ✨

Comment “🎂” to wish me a happy birthday!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",18,12/31/2025 23:22,N/A,https://www.facebook.com/reel/1549172982956367/,0,0,Videos,,,,,Lifetime,2345,716,86,81,3,2,,26,,26,,20249.255,12.183,0,0,0,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,1/1/2026 20:14,N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,3127,1182,58,54,1,3,,53,,53,,21839.261,9.433,0,0,0,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/2/2026 18:39,N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,1,19,17,1,1,,0,,,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/2/2026 23:44,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02sFyrpC8WXf6wttMQMSBg4fvERqZScxCvfLcVW4MQhSCD9J134dYs8go71hNK3dGFl,0,0,Photos,,,,,Lifetime,2696,1008,73,55,13,5,,104,28,76,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/3/2026 23:21,N/A,https://www.facebook.com/reel/862805923201086/,0,0,Videos,,,,,Lifetime,2048,710,91,75,15,1,,40,,40,,10644.585,6.522,0,0,0,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Heads up, Kikays! 👀 

Live na ako now until 10PM!

Stay tuned and samahan ako sa saya! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/5/2026 0:21,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0f6NmRDKubw4CsLxyu2YusRmdB3iuTWJuKsdJ124eyMtuGE93WNXPdW4CiuSKyirHl,0,0,Photos,,,,,Lifetime,3012,1260,68,61,4,3,,166,74,92,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Shawty, I don’t mind 🎧

Don’t mind what they say, Kikays. Your glow, your rules. Be confident ✨🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,1/5/2026 4:15,N/A,https://www.facebook.com/reel/4167437183516019/,0,0,Videos,,,,,Lifetime,2536,875,76,70,2,4,,45,,45,,15606.021,8.257,0,0,0,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Still me, just in different moods ✨

How’s your year so far, Kikays? So far so good? Drop a “💖” if yes!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,1/6/2026 0:13,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0rtgkdtrcvpc9NEzY12mWutyrtSewL7mLt8GeLzf8rgxo1CisezN6JngN2PjCNTYtl,0,0,Photos,,,,,Lifetime,2201,996,34,31,1,2,,121,87,34,,,,,,,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Ayaw kong nabibitin 🎶

Kaya watch me sa Color Game LIVE! Siguradong hindi ka mabibitin sa saya at premyo! 🎁

Download the Juan365 App sa Play Store and App Store na! 🎮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",16,1/6/2026 2:55,N/A,https://www.facebook.com/reel/1217464026992525/,0,0,Videos,,,,,Lifetime,1673,603,61,48,9,4,,49,,49,,8774.989,6.637,0,0,0,
1.22185E+17,6.15615E+13,JUANKada Host Ikay,"To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","To all my marilag kikays out there, never stop sparkling! 🌸✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",36,1/6/2026 22:35,N/A,https://www.facebook.com/reel/894560389655814/,0,0,Videos,,,,,Lifetime,2975,925,135,119,12,4,,107,,107,,33353.657,14.445,0,0,0,
