"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Link Clicks"
122184669344383179,61561495390240,"JUANKada Host Ikay","JUANKada Host Ikay updated their cover photo.",,0,"01/02/2026 18:39",N/A,https://www.facebook.com/photo.php?fbid=122184669344383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,2,1,18,16,1,1,0,,,,,,,,
122184689018383179,61561495390240,"JUANKada Host Ikay","LIVE na ako, Kikays! 🌸

Watch me NOW para good vibes from afternoon hanggang gabi niyo ✨

Hihintayin ko kayo sa live ha! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/02/2026 23:44",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02sJNJ8x4ptVnYtEU3dobeMdg1YME6ZERrV6a6jhYuQd8wmoCAStmMkEHEXvFMAqBDl,0,0,Photos,,,,,Lifetime,1835,628,69,51,13,5,100,73,27,,,,,,
122184789542383179,61561495390240,"JUANKada Host Ikay","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","And I'mma be your number one girl, always making time for you, Kikays! 🌸✨

Catch me LIVE NOW sa Color Game From 2PM to 10PM!

Don’t miss the fun, Kikays!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/03/2026 23:21",N/A,https://www.facebook.com/reel/862805923201086/,0,0,Videos,,,,,Lifetime,990,321,74,58,15,1,37,37,,6641.904,9.315,0,0,0,
122184577460383179,61561495390240,"JUANKada Host Ikay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni Juankada Lance sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Don't leave me dancin' alone 🎶🫶

Good thing sinamahan ako ni @[61584243275518:2048:Juankada Lance] sa trend na ‘to! 

Kanino mas bagay yung trend na 'to? Comment na, Kikays! 🌸

#Juan365Studios
#ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",15,"01/01/2026 20:14",N/A,https://www.facebook.com/reel/856971900558109/,0,0,Videos,,,,,Lifetime,2165,832,52,48,1,3,49,49,,15476.522,9.857,0,0,0,
122104516509185509,61585565286734,"JuanKada Star","Star Babies, nasaan na kayo? 👀🔥

Tara na! Live na live ako now sa Color Game!

See you there! 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/01/2026 16:52",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0wiFMX2JwVMSfveNGfdCpdRARyTbzzcPE19p3KACZ1sbdbhmKZzbR1HUop6MGfjGDl,0,0,Photos,,,,,Lifetime,1171,483,37,34,0,3,104,51,53,,,,,,
122105462469185509,61585565286734,"JuanKada Star","Stop scrolling at mag-join na, Star Babies! ✨

Color Game LIVE na! Catch me from 6AM–2PM at sabay-sabay tayong mag-ALL IN sa SAYA! 🔥

Wala pa ang app? Download na ang Juan365 now sa App Store & Play Store!","Stop scrolling at mag-join na, Star Babies! ✨

Color Game LIVE na! Catch me from 6AM–2PM at sabay-sabay tayong mag-ALL IN sa SAYA! 🔥

Wala pa ang app? Download na ang Juan365 now sa App Store & Play Store!",10,"01/04/2026 16:48",N/A,https://www.facebook.com/reel/1424385785877905/,0,0,Videos,,,,,Lifetime,34,26,3,3,0,0,2,2,,128.932,6.139,0,0,0,
122105452143185509,61585565286734,"JuanKada Star","Live now at 6am-2pm. See you Star Babies 🫶🫰❤️",,0,"01/04/2026 15:05",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid04Wpq4V4q85es9uv2bBhSaHF67kqeB6RAJ2WrH5JRMNCFfkfkKN6WizANgNYUQHvol,0,1,Photos,,,,,Lifetime,79,39,8,8,0,0,5,1,4,,,,,,
122105447139185509,61585565286734,"JuanKada Star",,,0,"01/04/2026 14:19",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0TX3cDiJYrKDNiuY8rjfJxAYvspHAAC7jUKW6AANsqQwhzFFmwvFjn2FgK4SNMuSCl,0,1,Photos,,,,,Lifetime,31,21,3,3,0,0,0,,,,,,,,
122105253903185509,61585565286734,"JuanKada Star","Star Babies! Sana nag-enjoy kayo sa Color Game Live kanina kasama sina JuankadaPapa Joe at Juankada Jedi! ✨

Masaya ba kayo habang naglaro? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/04/2026 02:00",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid09Z57SpjjSW66efsqhxDdfExJPNG1jsAuVgPLQmyWukq4mCfeCEtrgmkZaxJqDu8Ul,0,0,Photos,,,,,Lifetime,246,102,13,11,1,1,15,6,9,,,,,,
122105242689185509,61585565286734,"JuanKada Star",🔥,"Sino ba naman nga ang ’di mahuhumaling sa ganda ko at gaan sa loob, diba Star babies? ⭐

Heart react niyo nga 'to if you agree 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",21,"01/04/2026 01:04",N/A,https://www.facebook.com/reel/2058033188264950/,0,0,Videos,,,,,Lifetime,2393,473,156,142,11,3,32,32,,22594.85,15.745,0,0,0,
122105234577185509,61585565286734,"JuanKada Star","Star Babies! 🌟 Checking in—kamusta kayo diyan?

Sending you light, love, and shining moments today 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies","Star Babies! 🌟 Checking in—kamusta kayo diyan?

Sending you light, love, and shining moments today 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",7,"01/04/2026 00:23",N/A,https://www.facebook.com/reel/821548457603598/,0,0,Videos,,,,,Lifetime,271,142,17,12,4,1,10,10,,964.387,5.448,0,0,0,
122105219841185509,61585565286734,"JuanKada Star","Iba ang saya at kulitan kapag kasama c Juankada Shann 😊🫶🫰❤️",,0,"01/03/2026 23:12",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0NALoGeoXxmgTJNekgAPcTbbx6fpo7bh6amE3QSSv4Fdnw3P3TJgFgPEsFpt7z6ypl,0,1,Photos,,,,,Lifetime,134,69,8,8,0,0,6,1,5,,,,,,
122105180325185509,61585565286734,"JuanKada Star",🫰🫶❤️,,0,"01/03/2026 19:09",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0mQyiPsJc5N2wzgK4hGt3he7X3q4E3qtqcaZQhP6nqhBuWD8kur5f5t587f4ucUeGl,0,1,Photos,,,,,Lifetime,105,60,6,6,0,0,3,1,2,,,,,,
122105180277185509,61585565286734,"JuanKada Star",🫶🫰❤️,,0,"01/03/2026 19:09",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0iWMhuiMUqN1iA6PXmGtARzJw6Hc3Z6nbiXvxajggwVk7i1oMSdpbn2HCJmBDkXDFl,0,1,Photos,,,,,Lifetime,106,63,7,6,0,1,4,3,1,,,,,,
122105143581185509,61585565286734,"JuanKada Star","Set your alarms na para hindi mahuli sa fun! 🌟

What’s up, Star Babies?! 🎉 Color Game LIVE is on! 

Catch me 6AM–2PM for colors, fun, and prizes!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,"01/03/2026 14:35",N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0ZXKJYnWjaueJTAHSSPNCFHegKvmo7jRk6H4gjr1PxW66VrQFGC7bMzfNCWD2vUhnl,0,0,Photos,,,,,Lifetime,963,441,31,27,0,4,43,15,28,,,,,,
