"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks",Views,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide all","Matched Audience Targeting Consumption (Photo Click)","Link Clicks"
122119283367023874,61580716220863,"Juana Babe Abi","Habang tulog ang lahat… kami gising pa 😹

mention mo na kung sino kasama mo mag puyat😂

#juanababe #juanbabeabi #Juan365 #Juan365livestream #LateNightVibes #CatMomPH #FurBabyLove #RelatablePH #CreatorLife #TrendingNowPH","Habang tulog ang lahat… kami gising pa 😹

mention mo na kung sino kasama mo mag puyat😂

#juanababe #juanbabeabi #Juan365 #Juan365livestream #LateNightVibes #CatMomPH #FurBabyLove #RelatablePH #CreatorLife #TrendingNowPH",14,"01/04/2026 15:51",N/A,https://www.facebook.com/reel/1569162404233603/,0,0,Videos,,,,,Lifetime,263,18,14,3,1,7,7,398,2551.619,8.859,0,0,0,,,
122119210995023874,61580716220863,"Juana Babe Abi","What are you willing to do when I look like this🥰

React ❤️if you felt that!, Comment one word

#juanababe #juanbabeabi #Juan365 #Juan365livestream #SoftThirstTrap #ConfidentWomen #SoftFlexPH #CreatorPH #ViralReels","What are you willing to do when I look like this🥰

React ❤️if you felt that!, Comment one word

#juanababe #juanbabeabi #Juan365 #Juan365livestream #SoftThirstTrap #ConfidentWomen #SoftFlexPH #CreatorPH #ViralReels",13,"01/04/2026 01:17",N/A,https://www.facebook.com/reel/1576238373387051/,0,0,Videos,,,,,Lifetime,199,94,33,14,47,41,41,417,1786.354,5.915,0,0,0,,,
122119194513023874,61580716220863,"Juana Babe Abi","Kung di ka pa napa ngiti nito, ewan ko na lang!

React ❤️ + tag someone na gusto mo mapa smile

#juanababe #juanbabeabi #Juan365 #Juan365livestream #CuteVideo #BunnyLove #ScrollStoppingContent #ViralPH #PaCuteVideo #RelatablePH","Kung di ka pa napa ngiti nito, ewan ko na lang!

React ❤️ + tag someone na gusto mo mapa smile

#juanababe #juanbabeabi #Juan365 #Juan365livestream #CuteVideo #BunnyLove #ScrollStoppingContent #ViralPH #PaCuteVideo #RelatablePH",13,"01/03/2026 20:34",N/A,https://www.facebook.com/reel/25630370843288358/,0,0,Videos,,,,,Lifetime,253,80,41,27,12,29,29,477,2807.822,9.116,0,0,0,,,
122119098399023874,61580716220863,"Juana Babe Abi","Mahilig sa pusa… pero hikain

React ❤️ at comment kung ganito ka rin!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #FurBabyLove #RelatableAF #ScrollStopperPH #ViralPostPH #PetLoversPH","Mahilig sa pusa… pero hikain

React ❤️ at comment kung ganito ka rin!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #FurBabyLove #RelatableAF #ScrollStopperPH #ViralPostPH #PetLoversPH",11,"01/03/2026 14:24",N/A,https://www.facebook.com/reel/677900135289187/,0,0,Videos,,,,,Lifetime,1138,89,54,24,11,31,31,1673,9603.581,8.077,0,0,0,,,
122119057551023874,61580716220863,"Juana Babe Abi","Tuloy-tuloy ang kasiyahan sa Juan365 Live Stream 🎉
Huwag palampasin!!!

#juanababes #TheResponsibleJuan #Juan365livestream #AllInJuanSaSaya #JuanKada #Juan365PH",,0,"01/03/2026 03:35",N/A,https://www.facebook.com/JuanababeAbi/posts/pfbid0252kLUnxv4ioGqZrT3w2CkwueXBLd8aVUW8kmQ6TBzPEKM8PtXMQ9wwMTgTQzscLel,0,1,Live,,,,,Lifetime,81,10,9,1,0,12,12,,,,,,,,,
122119029333023874,61580716220863,"Juana Babe Abi","🎉 Shoutout sa ating 5 Lucky Sharers! 

Congratulations🎉,

SanLuis NevesSixtysix
Genevieve Saguit 
Jay Poli 
James Calo 
Way Larios

💌 Check mo na inbox para sa iyong prize!

Missed out this time? Wag mag-alala… marami pang chances sa susunod! 🔥

React ❤️ or comment your thoughts para sa next round!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #LuckySharers  #GiveawayPH #TrendingPH #ScrollStopper #ViralPH #WinningFeelsGood","🎉 Shoutout sa ating 5 Lucky Sharers! 

Congratulations🎉,

SanLuis NevesSixtysix
Genevieve Saguit 
Jay Poli 
James Calo 
Way Larios

💌 Check mo na inbox para sa iyong prize!

Missed out this time? Wag mag-alala… marami pang chances sa susunod! 🔥

React ❤️ or comment your thoughts para sa next round!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #LuckySharers  #GiveawayPH #TrendingPH #ScrollStopper #ViralPH #WinningFeelsGood",22,"01/03/2026 01:35",N/A,https://www.facebook.com/reel/1412433080575263/,0,0,Videos,,,,,Lifetime,272,82,48,23,11,39,39,468,3197.488,9.349,0,0,0,,,
122118958455023874,61580716220863,"Juana Babe Abi","Di ka makatawa… kasi siya yung mama ng boyfriend mo

React ❤️ kung nakaka-relate ka!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #FunnyPH #SavageVibes #SingerVibes #ChaoticMood #KiligNgKonti #ViralPostPH #RelatableAF","Di ka makatawa… kasi siya yung mama ng boyfriend mo

React ❤️ kung nakaka-relate ka!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #FunnyPH #SavageVibes #SingerVibes #ChaoticMood #KiligNgKonti #ViralPostPH #RelatableAF",16,"01/02/2026 19:35",N/A,https://www.facebook.com/reel/1785526748825192/,0,0,Videos,,,,,Lifetime,407,62,41,13,8,15,15,641,4282.531,9.537,0,0,0,,,
122118929169023874,61580716220863,"Juana Babe Abi","May pusa na ako… ikaw na lang ang kulang 😏

Sino mas cute, ako o siya? React ❤️ kung ako lang ang cute😜

#juanababe #juanbabeabi #Juan365 #Juan365livestream #trend #dance  #goodvibes  #fypviralシ #trendingvideo #trendingnow #FurBabyLove #FunnyPost #DailyMood #PetLoversPH #ScrollStopper",,0,"01/02/2026 17:09",N/A,https://www.facebook.com/JuanababeAbi/posts/pfbid0Js7fR1uGE9D15AsFBYGcgNnyheZVWQKAhD9o13xzSskDksW4KVEnZzSeXMXXQqptl,0,0,Photos,,,,,Lifetime,263,49,30,16,3,36,29,600,,,,,,,7,
122118839175023874,61580716220863,"Juana Babe Abi","Starting the year with confidence and a good beat💅

Follow and invite friends mas marami mas masaya!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #trend #dance #2026iscoming #trendingreelsvideo #goodvibes  #fypviralシ #trendingvideo #trendingnow #beautifulgirlsreels","Starting the year with confidence and a good beat💅

Follow and invite friends mas marami mas masaya!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #trend #dance #2026iscoming #trendingreelsvideo #goodvibes  #fypviralシ #trendingvideo #trendingnow #beautifulgirlsreels",20,"01/02/2026 04:14",N/A,https://www.facebook.com/reel/836381892497803/,0,0,Videos,,,,,Lifetime,335,65,44,14,7,26,26,507,3939.113,10.126,0,0,0,,,
122118788781023874,61580716220863,"Juana Babe Abi","Buti na lang talaga masarap yung pagkain😆

Invited na ba mga friends mo Juankada?

Hit ""❤️"" for more surprises!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #trend #dance #newyear2016 #trendingreelsvideo #goodvibes  #fypviralシ #trendingvideo #trendingnow","Buti na lang talaga masarap yung pagkain😆

Invited na ba mga friends mo Juankada?

Hit ""❤️"" for more surprises!

#juanababe #juanbabeabi #Juan365 #Juan365livestream #trend #dance #newyear2016 #trendingreelsvideo #goodvibes  #fypviralシ #trendingvideo #trendingnow",16,"01/01/2026 23:16",N/A,https://www.facebook.com/reel/2033445684115814/,0,0,Videos,,,,,Lifetime,1083,148,81,24,43,93,93,2148,16749.476,10.918,0,0,0,,,
