"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122185606160383179,61561495390240,"JUANKada Host Ikay","CATCH ME LIVE NOW, Kikays! 

Kasama sina Juankada Charm, Lance & Ellise 🌸

Don’t miss the fun! See you sa live!🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays #JuankadaLance #JuankadaCharm #JuankadaEllise",,0,"01/11/2026 18:11",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid032XW2o92QTStdaQqXPtBoW941sg2Ej8cYyEH7RR4MFvybzysttJpT1Nk7pB3cR2wnl,0,0,Photos,,,,,Lifetime,0,0,0,0,0,0,0,,,,,,,,,
122185526606383179,61561495390240,"JUANKada Host Ikay","Hindi niyo mapipigil ‘yon… at alam niyo ‘yon, sa akin pa rin kayo uuwi..

Talagang dito lang kayo uuwi sa’kin, Kikays! Sama sama tayo palagi sa Color Game😘🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Hindi niyo mapipigil ‘yon… at alam niyo ‘yon, sa akin pa rin kayo uuwi..

Talagang dito lang kayo uuwi sa’kin, Kikays! Sama sama tayo palagi sa Color Game😘🌸

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,"01/10/2026 21:05",N/A,https://www.facebook.com/reel/4032273647064179/,0,0,Videos,,,,,Lifetime,2406,503,132,112,16,4,89,89,,,,17998.903,12.702,0,0,0
122185513988383179,61561495390240,"JUANKada Host Ikay","Slayin’ in shades of orange 🍊

Kamusta Kikays? How’s your 2026 so far? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/10/2026 18:21",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0En2NG98THxsRfwv8GLGn2hfWwwD5BgHUuFogAJN4gBSCdQUFUxe4pGoCkLwvup3Xl,0,0,Photos,,,,,Lifetime,2442,847,54,49,4,1,284,76,208,,,,,,,
122185414982383179,61561495390240,"JUANKada Host Ikay","Na-LSS na rin ba kayo sa trend na ’to, Kikays? 😆

Hop the trend na rin at ipakita niyo naman yung mga Kikays na saksakan din ng  ganda! 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Na-LSS na rin ba kayo sa trend na ’to, Kikays? 😆

Hop the trend na rin at ipakita niyo naman yung mga Kikays na saksakan din ng  ganda! 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,"01/09/2026 22:29",mixed,https://www.facebook.com/reel/25348380054804394/,0,0,Videos,,,,,Lifetime,1377,404,68,53,14,1,42,42,,,,7098.678,7.34,0,0,0
122185408724383179,61561495390240,"JUANKada Host Ikay","Feeling fierce in maroon 🍷✨

Catch me live, Kikays! Naka-tune in na ba kayo?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,"01/09/2026 20:37",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0eYaoQR9a6wcZcPqzbBsdLCThKbu9f2hoQMnULRHk52qMnmJ3JxN4zYUJuVPzmkkVl,0,0,Photos,,,,,Lifetime,1671,656,34,29,4,1,85,25,60,,,,,,,
122185316624383179,61561495390240,"JUANKada Host Ikay",🫶🏻🫶🏻,,0,"01/09/2026 02:26",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid033D32ojsvNBsbjXtbzhWMimGWaFUQJ4G9ndfhVxRZLVvJZG4bweBegqjo18mXU5M4l,0,1,Photos,,,,,Lifetime,358,158,8,6,2,0,12,5,3,4,,,,,,
122185306172383179,61561495390240,"JUANKada Host Ikay","Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay","Kikays, make sure maganda ang araw niyo! 😘 Spread love and good vibes! 🌸 Bukas uli 6am-2pm ☺️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",27,"01/08/2026 23:07",N/A,https://www.facebook.com/reel/1205261424435257/,0,0,Videos,,,,,Lifetime,1577,450,70,56,10,4,42,42,,,,13336.389,10.694,0,0,0
122185292246383179,61561495390240,"JUANKada Host Ikay","Kikays, Kamusta kayo? 🌸

Join na sa Color Game, pumili ng tamang kulay at ipakita ang inyong Kikay power! 💅💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay",,0,"01/08/2026 19:49",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0xXE8NtnxAYwL3hYA5Tw2ZxpuUWCRNPp2vmRQeSFaLrD3v4bTRyLbckLvzZNwWqhl,0,0,Photos,,,,,Lifetime,2543,963,57,41,14,2,259,120,139,,,,,,,
122185275254383179,61561495390240,"JUANKada Host Ikay","Juankada Alexchoozy Juankada host Drae",,0,"01/08/2026 15:17",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02mTPCpz8HndZnBJoKBF3W4Y5QJrZtBdDDA4XM54BeoQaQ3D6tkyuThM38UgVGnRgwl,0,1,Photos,,,,,Lifetime,428,176,20,13,6,1,36,15,21,,,,,,,
122185209578383179,61561495390240,"JUANKada Host Ikay",🤗,,0,"01/07/2026 23:14",N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02ZobG2spu36VH8wWfaoD15zTWowHBwZU6b25obp6hdEUKkuyz5syyH1HucR2PFzP8l,0,1,Text,,,,,Lifetime,,164,17,13,4,0,15,15,,,,,,,,
