Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1547,800,77,71,2,4,19,19,,,0,6436.242,5.31,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/18/2026 19:55,N/A,https://www.facebook.com/reel/883562147816145/,0,0,Videos,,,,,Lifetime,707,227,61,53,7,1,38,38,,,0,4967.852,10.221,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Sasabay o sasabay? 🛗 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Sasabay o sasabay? 🛗 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",13,2/18/2026 3:04,N/A,https://www.facebook.com/reel/1234929648706070/,0,0,Videos,,,,,Lifetime,737,223,50,46,3,1,19,19,,,0,4471.751,8.235,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Sino sasabay elevator? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Sino sasabay elevator? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/17/2026 20:00,uploaded,https://www.facebook.com/reel/693108593887870/,1,0,Videos,,,,,Lifetime,647,178,57,48,7,2,35,35,,,0,4267.584,8.89,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,16,2/17/2026 3:05,N/A,https://www.facebook.com/reel/2823837111407845/,0,0,Videos,,,,,Lifetime,216,131,19,15,4,0,13,13,,,0,1439.376,9.858,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"didn’t come to play, came to slay 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","didn’t come to play, came to slay 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",18,2/16/2026 21:39,N/A,https://www.facebook.com/reel/1230082049254651/,0,0,Videos,,,,,Lifetime,712,202,56,48,6,2,32,32,,,0,4507.088,8.346,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"As beautiful as the sunset 🌅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","As beautiful as the sunset 🌅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",8,2/16/2026 2:22,N/A,https://www.facebook.com/reel/773663932463577/,0,0,Videos,,,,,Lifetime,1137,284,67,59,5,3,20,20,,,0,5027.648,6.812,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Ready na ‘ko sa saya at swerte! Join na sa Color Game live, Kikays! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",,0,2/15/2026 21:36,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0QZ4kQcyZ3VAaTfwtiZiUDUPtJ8JdMUGWzFY2izTC4QnHLJo8kSXnZgiGqQWxaA3wl,0,0,Photos,,,,,Lifetime,810,340,27,21,6,0,89,22,67,,0,,,,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays,15,2/15/2026 3:28,N/A,https://www.facebook.com/reel/928548366531327/,0,0,Videos,,,,,Lifetime,289,167,24,22,2,0,23,23,,,0,2080.677,10.561,0,0,0,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Looking so sweet 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/14/2026 20:42,N/A,https://www.facebook.com/reel/2025623075028589/,0,0,Videos,,,,,Lifetime,987,303,58,41,7,10,19,19,,,0,4391.148,5.74,0,0,0,
