Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Negative feedback from users: Hide
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1559,806,77,71,2,4,19,19,,0,6470.399,5.29,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Hey man! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Hey man! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/28/2026 20:33,N/A,https://www.facebook.com/reel/809402798856394/,0,0,Videos,,,,,Lifetime,171,132,14,12,2,0,14,14,,0,932.923,6.91,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Bakit ang daming… 🤭 ng mga tao sa paligid?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Bakit ang daming… 🤭 ng mga tao sa paligid?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",14,2/28/2026 2:55,N/A,https://www.facebook.com/reel/1305490708281981/,0,0,Videos,,,,,Lifetime,242,150,25,20,5,0,12,12,,0,1359.977,8.047,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,2/27/2026 20:26,N/A,https://www.facebook.com/reel/1610174150028267/,0,0,Videos,,,,,Lifetime,594,221,41,34,6,1,19,19,,0,3911.63,8.951,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"And I need you, and I miss youuuuu 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","And I need you, and I miss youuuuu 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/27/2026 3:09,N/A,https://www.facebook.com/reel/1242841817316590/,0,0,Videos,,,,,Lifetime,166,114,22,20,2,0,11,11,,0,848.838,6.683,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"I like you and you like me 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","I like you and you like me 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",12,2/26/2026 20:59,N/A,https://www.facebook.com/reel/1592817875390654/,0,0,Videos,,,,,Lifetime,183,124,15,13,2,0,15,15,,0,816.771,6.187,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Sweet asian check

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Sweet asian check

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",11,2/26/2026 2:04,N/A,https://www.facebook.com/reel/1658110588948399/,0,0,Videos,,,,,Lifetime,222,133,23,21,2,0,14,14,,0,3014.478,20.096,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Serving looks while securing luck 😉

Ready ka na ba swertehin? Join na sa color game now!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,2/25/2026 21:21,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02U2tb1z9D9r1tP4U9o47g4XAuSd4Bpg3vAZtit4JpMR3ej2gxwskM9Vgp7FXg5Pn8l,0,0,Photos,,,,,Lifetime,349,155,12,10,1,1,17,6,11,0,,,,,,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Oh oh oh 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Oh oh oh 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",11,2/25/2026 3:30,N/A,https://www.facebook.com/reel/1734906357473617/,0,0,Videos,,,,,Lifetime,276,151,29,24,5,0,13,13,,0,1198.029,5.99,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,27,2/24/2026 21:02,N/A,https://www.facebook.com/reel/1299952685524664/,0,0,Videos,,,,,Lifetime,692,423,46,39,7,0,35,35,,0,5261.558,9.871,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"thinking about you 24/7 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","thinking about you 24/7 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",7,2/24/2026 4:59,N/A,https://www.facebook.com/reel/886190137718103/,0,0,Videos,,,,,Lifetime,345,195,22,18,4,0,17,17,,0,1026.482,4.349,0,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Pwede ba kitang maging big guy? 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Pwede ba kitang maging big guy? 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",14,2/23/2026 20:02,N/A,https://www.facebook.com/reel/1245387370346112/,0,0,Videos,,,,,Lifetime,1132,306,54,48,4,2,34,34,,0,5947.171,7.351,0.01,0,0,,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Just vibin’ and playin’ 🖤 Kamusta kayo Kikays? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Just vibin’ and playin’ 🖤 Kamusta kayo Kikays? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/23/2026 3:17,N/A,https://www.facebook.com/reel/1199258721981289/,0,0,Videos,,,,,Lifetime,532,180,35,30,3,2,9,9,,0,2364.873,5.461,0,0,0,,,
