Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Negative feedback from users: Hide
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",10,3/6/2026 21:47,N/A,https://www.facebook.com/reel/957157909982177/,0,0,Videos,,,,,Lifetime,513,216,33,28,3,2,78,,78,,0,3444.271,14.115,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/4/2026 20:06,N/A,https://www.facebook.com/reel/1450201163306055/,0,0,Videos,,,,,Lifetime,598,426,38,34,4,0,17,,17,,0,3379.501,7.19,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,15,3/4/2026 6:41,N/A,https://www.facebook.com/reel/913998824698163/,0,0,Videos,,,,,Lifetime,389,184,30,21,2,7,22,,22,,0,2584.397,8.973,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,25,3/3/2026 22:05,mixed,https://www.facebook.com/reel/1802270517119367/,0,0,Videos,,,,,Lifetime,288,226,25,21,3,1,21,,21,,0,1502.807,6.261,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Get it how you want it 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Get it how you want it 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,3/3/2026 3:17,N/A,https://www.facebook.com/reel/935483229032383/,0,0,Videos,,,,,Lifetime,254,133,22,15,2,5,10,,10,,0,1337.037,6.459,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Eto na nga bubuksan na 😅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Eto na nga bubuksan na 😅

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,3/2/2026 19:49,N/A,https://www.facebook.com/reel/911537434961176/,0,0,Videos,,,,,Lifetime,1180,320,50,40,5,5,41,,41,,0,6396.295,7.403,0,0,1,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Ikaw pipiliin mo ba ako ng matagal?🥺

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Ikaw pipiliin mo ba ako ng matagal?🥺

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",10,3/2/2026 7:12,N/A,https://www.facebook.com/reel/1538572970975729/,0,0,Videos,,,,,Lifetime,501,293,30,20,10,0,35,,35,,0,2666.808,8.056,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,3/2/2026 4:16,N/A,https://www.facebook.com/photo.php?fbid=122190032066383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,1,1,7,6,1,0,0,,,,0,,,,,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,🧡,,0,3/2/2026 4:16,N/A,https://www.facebook.com/photo.php?fbid=122190031982383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,220,104,17,15,2,0,7,1,6,,0,,,,,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Boy I've been loving you since day one 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Boy I've been loving you since day one 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,3/1/2026 21:41,N/A,https://www.facebook.com/reel/1479775446818661/,0,0,Videos,,,,,Lifetime,305,196,32,26,6,0,25,,25,,0,1839.806,8.213,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,Team night shift 🏍️,,0,3/1/2026 7:06,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0TNtYkZWcEN42XYVwV2pi7JyGsgmiLy68ndwNvc78Xjgd2xhasQpzHZJQ1S9iMfGWl,0,0,Photos,,,,,Lifetime,508,255,7,5,2,0,19,7,12,,0,,,,,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Hey man! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Hey man! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/28/2026 20:33,N/A,https://www.facebook.com/reel/809402798856394/,0,0,Videos,,,,,Lifetime,270,186,23,21,2,0,14,,14,,0,1466.764,6.984,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Bakit ang daming… 🤭 ng mga tao sa paligid?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Bakit ang daming… 🤭 ng mga tao sa paligid?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",14,2/28/2026 2:55,N/A,https://www.facebook.com/reel/1305490708281981/,0,0,Videos,,,,,Lifetime,312,193,29,24,5,0,13,,13,,0,1748.844,7.738,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Got murd3r on my mind ❤️‍🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,2/27/2026 20:26,N/A,https://www.facebook.com/reel/1610174150028267/,0,0,Videos,,,,,Lifetime,808,263,49,42,6,1,19,,19,,0,4570.441,7.324,0,0,0,,
