Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks,Negative feedback from users: Hide
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1570,807,77,71,2,4,19,,19,6491.198,5.268,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,19,3/12/2026 22:49,N/A,https://www.facebook.com/reel/730890743323288/,0,0,Videos,,,,,Lifetime,199,142,12,10,2,0,10,,10,1107.954,7.241,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Yung pananamit napakayabang sobra 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Yung pananamit napakayabang sobra 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",23,3/12/2026 1:39,N/A,https://www.facebook.com/reel/1545996146465819/,0,0,Videos,,,,,Lifetime,299,187,18,13,5,0,12,,12,2652.373,12.001,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,16,3/11/2026 5:11,N/A,https://www.facebook.com/reel/896874623260762/,0,0,Videos,,,,,Lifetime,357,199,33,28,4,1,22,,22,2332.655,9.926,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Apologize? nah.

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Apologize? nah.

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",12,3/10/2026 4:49,N/A,https://www.facebook.com/reel/2326316651223645/,0,0,Videos,,,,,Lifetime,303,196,29,26,2,1,12,,12,1352.949,5.908,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Outfit check 💯

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,3/10/2026 3:47,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02HPRX36kBRd2AQbbS8DRTPQzf3iB9BGgdTcww7iufZ8wHo927TspWWedPjW3WURyRl,0,0,Photos,,,,,Lifetime,699,362,16,14,2,0,37,24,13,,,,,,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Yung pananamit napakayabang sobra 😌

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Yung pananamit napakayabang sobra 😌

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/9/2026 21:48,N/A,https://www.facebook.com/reel/921839016870675/,0,0,Videos,,,,,Lifetime,671,481,39,35,3,1,34,,34,3278.221,6.292,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Uy nakita niyo ba ‘yon? parang may bago?🫣 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Uy nakita niyo ba ‘yon? parang may bago?🫣 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/8/2026 22:44,N/A,https://www.facebook.com/reel/1240229088242841/,0,0,Videos,,,,,Lifetime,368,224,28,25,2,1,22,,22,2198.667,8.113,0,0,0,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Just me and my outfit doing our thing

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,3/8/2026 3:31,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid022nHG4EuVuGB5mzREokHwobfbifGUtTWQync4AS2cDHGYn9EEyYUBQLggrwB4K2rEl,0,0,Photos,,,,,Lifetime,542,261,22,19,2,1,39,20,19,,,,,,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Warm up muna bago mag bigay ng saya at swerte sa Live 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Warm up muna bago mag bigay ng saya at swerte sa Live 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/7/2026 22:07,N/A,https://www.facebook.com/reel/899686402860225/,0,0,Videos,,,,,Lifetime,821,539,22,18,3,1,25,,25,5105.851,8.195,0.01,5,2,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",10,3/6/2026 21:47,N/A,https://www.facebook.com/reel/957157909982177/,0,0,Videos,,,,,Lifetime,730,284,38,33,3,2,86,,86,4873.233,12.995,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/4/2026 20:06,N/A,https://www.facebook.com/reel/1450201163306055/,0,0,Videos,,,,,Lifetime,685,466,40,36,4,0,17,,17,3781.652,6.99,0,0,0,,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,15,3/4/2026 6:41,N/A,https://www.facebook.com/reel/913998824698163/,0,0,Videos,,,,,Lifetime,495,232,32,23,2,7,22,,22,3029.339,8.078,0,0,0,,,
