Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1572,807,77,71,2,4,19,19,,6499.891,5.267,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,19,3/12/2026 22:49,N/A,https://www.facebook.com/reel/730890743323288/,0,0,Videos,,,,,Lifetime,321,204,15,13,2,0,11,11,,1666.171,6.433,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Yung pananamit napakayabang sobra 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Yung pananamit napakayabang sobra 🔥

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",23,3/12/2026 1:39,N/A,https://www.facebook.com/reel/1545996146465819/,0,0,Videos,,,,,Lifetime,363,219,20,15,5,0,13,13,,3076.204,11.351,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay,16,3/11/2026 5:11,N/A,https://www.facebook.com/reel/896874623260762/,0,0,Videos,,,,,Lifetime,396,216,35,29,5,1,22,22,,2551.903,9.629,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Apologize? nah.

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Apologize? nah.

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",12,3/10/2026 4:49,N/A,https://www.facebook.com/reel/2326316651223645/,0,0,Videos,,,,,Lifetime,335,209,32,29,2,1,12,12,,1501.856,5.959,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Outfit check 💯

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,3/10/2026 3:47,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02HX531TmucN6qcn7bGX8rNcb85asxFL65rEg74fJvzR8R6TN8ZRmyYN9pMcrALj64l,0,0,Photos,,,,,Lifetime,721,372,17,15,2,0,37,13,24,,,,,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Yung pananamit napakayabang sobra 😌

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Yung pananamit napakayabang sobra 😌

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/9/2026 21:48,N/A,https://www.facebook.com/reel/921839016870675/,0,0,Videos,,,,,Lifetime,693,493,41,37,3,1,34,34,,3363.084,6.216,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Uy nakita niyo ba ‘yon? parang may bago?🫣 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Uy nakita niyo ba ‘yon? parang may bago?🫣 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/8/2026 22:44,N/A,https://www.facebook.com/reel/1240229088242841/,0,0,Videos,,,,,Lifetime,386,234,29,26,2,1,22,22,,2315.314,8.21,0,0,0,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Just me and my outfit doing our thing

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",,0,3/8/2026 3:31,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid022uvn2bwE5rJp4y8gJ5vFNSoRBEvb2RzDVywpNnxQ8eW8e9V1wjjj9QpGkQJF1pqBl,0,0,Photos,,,,,Lifetime,559,273,23,20,2,1,39,19,20,,,,,,,
1.22191E+17,6.15615E+13,JUANKada Host Ikay,"Warm up muna bago mag bigay ng saya at swerte sa Live 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Warm up muna bago mag bigay ng saya at swerte sa Live 😍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/7/2026 22:07,N/A,https://www.facebook.com/reel/899686402860225/,0,0,Videos,,,,,Lifetime,838,548,23,19,3,1,25,25,,5215.252,8.225,0.01,5,2,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","💙

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",10,3/6/2026 21:47,N/A,https://www.facebook.com/reel/957157909982177/,0,0,Videos,,,,,Lifetime,756,299,40,35,3,2,86,86,,5019.173,12.902,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Let’s do the first day high! 🤘🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",16,3/4/2026 20:06,N/A,https://www.facebook.com/reel/1450201163306055/,0,0,Videos,,,,,Lifetime,699,471,40,36,4,0,17,17,,3828.356,6.91,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,15,3/4/2026 6:41,N/A,https://www.facebook.com/reel/913998824698163/,0,0,Videos,,,,,Lifetime,516,240,33,24,2,7,22,22,,3105.41,7.983,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,25,3/3/2026 22:05,mixed,https://www.facebook.com/reel/1802270517119367/,0,0,Videos,,,,,Lifetime,348,268,26,22,3,1,21,21,,1701.3,5.747,0,0,0,,
1.2219E+17,6.15615E+13,JUANKada Host Ikay,"Get it how you want it 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Get it how you want it 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,3/3/2026 3:17,N/A,https://www.facebook.com/reel/935483229032383/,0,0,Videos,,,,,Lifetime,315,166,24,17,2,5,10,10,,1472.478,5.556,0,0,0,,
