"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
122099315109149417,61584482528597,"Juankada Shann","Juankada Shann added a new photo.",,0,"12/03/2025 20:15",N/A,https://www.facebook.com/photo.php?fbid=122099315109149417&set=a.122099314527149417&type=3,0,0,Photos,,,,,Lifetime,732,290,22,17,1,4,5,4,1,,,,,
122109246885149417,61584482528597,"Juankada Shann","Show your giling moves, Shanshines! 💃🔥

Hit ❤️, drop your moves, and tag your friends!

#GilingMoves #Shanshines #DanceVibes #MoveWithMe #ForYou #TrendingReels #ViralDance #Juan365Moments  #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines","Show your giling moves, Shanshines! 💃🔥

Hit ❤️, drop your moves, and tag your friends!

#GilingMoves #Shanshines #DanceVibes #MoveWithMe #ForYou #TrendingReels #ViralDance #Juan365Moments  #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines",26,"12/30/2025 20:00",N/A,https://www.facebook.com/reel/2741564766182058/,0,0,Videos,,,,,Lifetime,75,43,10,7,3,0,3,3,,531.443,9.49,0,0,0
122109236451149417,61584482528597,"Juankada Shann","𝐁𝐥𝐮𝐞 𝐡𝐚𝐭, 𝐲𝐞𝐥𝐥𝐨𝐰 𝐟𝐢𝐭 𝐫𝐞𝐚𝐝𝐲 𝐧𝐚 𝐬𝐚 𝐠𝐨𝐨𝐝 𝐦𝐨𝐨𝐝 𝐒𝐡𝐚𝐧𝐬𝐡𝐢𝐧𝐞𝐬✨

Chill vibes lang, pero baka ito na ang perfect combo before the Color Game LIVE!

#BlueAndYellow #GoodMoodGoodLuck #ColorGameVibes #LuckyFit #Juan365Moments  #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines","𝐁𝐥𝐮𝐞 𝐡𝐚𝐭, 𝐲𝐞𝐥𝐥𝐨𝐰 𝐟𝐢𝐭 𝐫𝐞𝐚𝐝𝐲 𝐧𝐚 𝐬𝐚 𝐠𝐨𝐨𝐝 𝐦𝐨𝐨𝐝 𝐒𝐡𝐚𝐧𝐬𝐡𝐢𝐧𝐞𝐬✨

Chill vibes lang, pero baka ito na ang perfect combo before the Color Game LIVE!

#BlueAndYellow #GoodMoodGoodLuck #ColorGameVibes #LuckyFit #Juan365Moments  #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines",12,"12/30/2025 19:00",mixed,https://www.facebook.com/reel/1352609102856662/,1,0,Videos,,,,,Lifetime,111,80,4,4,0,0,2,2,,575.686,7.107,0,0,0
122109219645149417,61584482528597,"Juankada Shann","Follow and share",,0,"12/30/2025 15:46",N/A,https://www.facebook.com/JuankadaShannOfficialPage/posts/pfbid02TSg78gJ6mTnbhvNg5P2pfJFfFZfTMM2if97HZFZsfbxGfDR9MgVunn6RHucgP5TJl,0,1,Photos,,,,,Lifetime,50,21,2,2,0,0,5,4,1,,,,,
122109207081149417,61584482528597,"Juankada Shann","𝐒𝐡𝐚𝐧𝐬𝐡𝐢𝐧𝐞𝐬, 𝐠𝐚𝐦𝐞 𝐧𝐚 𝐛𝐚 𝐤𝐚𝐲𝐨? 🎉

Sama-sama tayo sa Juan365 Color Game Live mamaya konting tawa, konting harutan, at sobra-sobrang saya! ✨
👉 Watch, join, at mag-comment live! Kita-kits! 💛

#Juan365PH #Shanshines #AllInJuanSaSaya #ColorGameLive #GoodVibesOnly #KulitanTime #LiveFun #TrendingNow #JuanKada #EntertainmentPH #CommunityFun",,0,"12/30/2025 13:11",N/A,https://www.facebook.com/JuankadaShannOfficialPage/posts/pfbid02SYN2mbn45YH4PnHpJVrhy3zGUMs47KtQJY7H2EntMf5NtBvd2nVLV8kfUEgY3DLul,0,0,Photos,,,,,Lifetime,56,25,3,3,0,0,3,2,1,,,,,
122109124101149417,61584482528597,"Juankada Shann","𝗛𝗶 𝗦𝗵𝗮𝗻𝘀𝗵𝗶𝗻𝗲𝘀 𝘀𝗺𝗶𝗹𝗲 𝗺𝘂𝗻𝗮.✨

Good vibes attract good luck kaya keep shining today 💛
Heart this if you’re choosing positivity ❤️

#CozyVibes #PositiveMindset #SoftEnergy #GoodLuckCharm #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines","𝗛𝗶 𝗦𝗵𝗮𝗻𝘀𝗵𝗶𝗻𝗲𝘀 𝘀𝗺𝗶𝗹𝗲 𝗺𝘂𝗻𝗮.✨

Good vibes attract good luck kaya keep shining today 💛
Heart this if you’re choosing positivity ❤️

#CozyVibes #PositiveMindset #SoftEnergy #GoodLuckCharm #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines",9,"12/30/2025 05:00",N/A,https://www.facebook.com/reel/1496419074802562/,1,0,Videos,,,,,Lifetime,58,41,2,2,0,0,4,4,,191.293,4.448,0,0,0
122109104733149417,61584482528597,"Juankada Shann","Cute, cozy, at ready na para sa 𝗖𝗼𝗹𝗼𝗿 𝗚𝗮𝗺𝗲 𝗦𝗵𝗮𝗻𝘀𝗵𝗶𝗻𝗲𝘀! 💙🎨

Comment your lucky color below, baka yan na ang manalo! 🍀👀

#ColorGameVibes #LuckyColor #CuteAndCozy #Juan365Live #GameTimePH #TrendingNow #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #ShanshinesSaJuan365","Cute, cozy, at ready na para sa 𝗖𝗼𝗹𝗼𝗿 𝗚𝗮𝗺𝗲 𝗦𝗵𝗮𝗻𝘀𝗵𝗶𝗻𝗲𝘀! 💙🎨

Comment your lucky color below, baka yan na ang manalo! 🍀👀

#ColorGameVibes #LuckyColor #CuteAndCozy #Juan365Live #GameTimePH #TrendingNow #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #ShanshinesSaJuan365",21,"12/30/2025 03:00",mixed,https://www.facebook.com/reel/1798060204226307/,1,0,Videos,,,,,Lifetime,40,28,3,3,0,0,5,5,,222.027,6.728,0,0,0
122109005103149417,61584482528597,"Juankada Shann","Shanshines! Ready na ba kayo? 🔥
Samahan niyo kami sa ngiti, saya, at konting harutan sa Juan365 Color Game Live mamayang 6:30am✨

👉 Manood, maki join, at mag comment live! Kita-kits! 💛

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines #Juan365 #GuessTheGame #FunnyChallenge #TrendingReels #LiveGameVibes",,0,"12/29/2025 14:19",N/A,https://www.facebook.com/JuankadaShannOfficialPage/posts/pfbid02Szga2SfjpKJeZC2sVgd129Mv1P7QicZHaRc8kC6xLHSJb6Ag4XbfQNBg9kjZuE4ml,0,0,Photos,,,,,Lifetime,96,32,3,3,0,0,6,3,3,,,,,
122108816703149417,61584482528597,"Juankada Shann","Shanshines! Ready na ba kayo? 🫣

Guess the smell Comment your guess below! 👇❤️

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines #Juan365 #Shanshines #GuessTheGame #FunnyChallenge #TrendingReels #LiveGameVibes","Shanshines! Ready na ba kayo? 🫣

Guess the smell Comment your guess below! 👇❤️

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines #Juan365 #Shanshines #GuessTheGame #FunnyChallenge #TrendingReels #LiveGameVibes",16,"12/28/2025 19:00",N/A,https://www.facebook.com/reel/1854259751886450/,0,0,Videos,,,,,Lifetime,83,37,5,4,1,0,11,11,,379.463,7.297,0,0,0
122108816595149417,61584482528597,"Juankada Shann","Shanshines, game ka na ba?
Magic is calling sa Juan365 Color Game LIVE! 🎨🔥

💙 Heart this post at tag your friends na gusto mong isama sa laro! Let’s play and enjoy together! 🎮💥

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines #Juan365 #ColorGameLive #ShanshinesSaJuan365 #PlayNow","Shanshines, game ka na ba?
Magic is calling sa Juan365 Color Game LIVE! 🎨🔥

💙 Heart this post at tag your friends na gusto mong isama sa laro! Let’s play and enjoy together! 🎮💥

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines #Juan365 #ColorGameLive #ShanshinesSaJuan365 #PlayNow",26,"12/28/2025 18:59",N/A,https://www.facebook.com/reel/1189904423264649/,0,0,Videos,,,,,Lifetime,84,37,10,10,0,0,2,2,,559.326,10.169,0,0,0
122108704263149417,61584482528597,"Juankada Shann","Sali na baka ikaw na ang next winner🤗💗

#Juan365Studios #ALLINJUANLIVE #JuankadaHosts   #Juan365",,0,"12/28/2025 05:37",N/A,https://www.facebook.com/JuankadaShannOfficialPage/posts/pfbid05PiWaTVc4b9nv5JoiEH5zRNM7snHt6P5SFJuQk4ccqatdPgmgjofaLSAgghBiS5nl,0,1,Text,,,,,Lifetime,,24,1,1,0,0,1,1,,,,,,
122108667951149417,61584482528597,"Juankada Shann","Parang maangas, pero. surprise! 💖🫣

Smash that ❤️ at hulaan sa comments kung sino o ano ito, Shanshines! 👀💫

#ShanshineMoment #GuessItRight #TrendingReels #SwipeAndSee #HeartVibes #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines","Parang maangas, pero. surprise! 💖🫣

Smash that ❤️ at hulaan sa comments kung sino o ano ito, Shanshines! 👀💫

#ShanshineMoment #GuessItRight #TrendingReels #SwipeAndSee #HeartVibes #Juan365Studios #Juan365 #ALLINJUANLIVE #JuankadaHosts #JuankadaShann #Shanshines",15,"12/28/2025 02:33",N/A,https://www.facebook.com/reel/1945673053029579/,0,0,Videos,,,,,Lifetime,227,129,10,10,0,0,10,10,,2779.118,18.164,0,0,0
122108662587149417,61584482528597,"Juankada Shann",,,0,"12/28/2025 01:59",N/A,https://www.facebook.com/JuankadaShannOfficialPage/posts/pfbid0NNMXwiBeEyLAREyB2mtMsF9acBuEx952i4gCmTZLgJBRRujoMipuo7cWdFTNWsRZl,0,1,Live,,,,,Lifetime,,21,1,1,0,0,1,1,,,,,,
